Elev,ShermanFR_H,ShermanFR_C,ShermanSJ_H,ShermanSJ_C,ShrewFR_H,ShrewFR_C,ShrewSJ_H,ShrewSJ_C,LargeFR_H,LargeFR_C,LargeSJ_H,LargeSJ_C
1400,14,0,57,192,3,0,0,1,0,0,7,1
1500,540,32,18,131,3,0,0,0,8,1,2,1
1600,581,74,45,2,41,0,0,0,28,1,9,0
1700,138,621,13,393,1,2,0,2,14,2,1,2
1800,51,109,76,103,6,0,0,0,13,3,10,4
1900,25,247,32,102,0,4,0,1,5,10,1,0
2000,103,47,84,117,5,0,1,27,5,0,2,7
2100,118,482,383,73,2,7,4,0,18,16,19,3
2200,52,304,67,286,1,1,2,0,20,5,1,4
2300,237,28,205,471,8,1,6,0,31,9,2,10
2400,78,189,51,167,1,12,1,3,18,13,2,7
2500,492,11,61,454,43,0,0,10,40,1,2,15
2600,84,98,12,18,23,5,5,0,13,7,1,1
2700,181,265,3,65,7,20,0,11,23,22,2,3
2800,301,229,136,144,63,20,3,13,32,33,9,4
2900,35,96,1,55,11,12,0,1,0,7,0,2
3000,36,151,9,119,1,52,0,30,12,10,1,8
3100,60,168,11,15,21,24,0,2,5,5,0,1
3200,82,30,0,464,18,1,0,42,3,2,0,10
3300,114,234,7,134,8,10,0,80,14,7,2,1
3400,25,135,4,203,2,24,0,13,3,0,0,10
3500,6,11,0,244,1,0,0,42,1,1,0,24
3600,4,160,10,0,1,1,3,0,1,25,1,0
3700,0,13,0,0,0,0,0,0,0,6,0,0
