Order,Family,Genus,Species,tryGenus,useFam,mn,sd,shp1,shp2
Rodentia,Cricetidae,Microtus,Microtus longicaudus,FALSE,FALSE,0.18375,0.044229515032385334,20.823600170255297,92.42978383691423
Rodentia,Cricetidae,Microtus,Microtus montanus,FALSE,FALSE,0.12225,0.07497188139562726,3.88154576435337,27.6232001610157
Rodentia,Cricetidae,Microtus,Microtus ochrogaster,FALSE,FALSE,0.22833333333333333,0.06048415770541352,15.275594353081402,51.67444926163979
Rodentia,Cricetidae,Myodes,Myodes gapperi,FALSE,FALSE,0.21015454545454545,0.09718252274597902,3.7394931845354775,14.086021827134797
Rodentia,Cricetidae,Phenacomys,Phenacomys intermedius,FALSE,FALSE,0.175,0.03535533905932738,40.25108236632706,189.75675795041633
Rodentia,Cricetidae,Neotoma,Neotoma mexicana,FALSE,FALSE,0.28873333333333334,0.10819433749816422,5.171069095114619,12.833386059687076
Rodentia,Cricetidae,Peromyscus,Peromyscus boylii,FALSE,FALSE,0.4341333333333333,0.10195127921381533,14.917761571453767,19.4908656182752
Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus,FALSE,FALSE,0.42864285714285716,0.13074540549557012,6.1658655312879205,8.183504179262883
Rodentia,Cricetidae,Peromyscus,Peromyscus truei,FALSE,FALSE,0.428325,0.12846707425121295,8.126707732708443,10.886789091239278
Rodentia,Cricetidae,Reithrodontomy,Reithrodontomy megalotis,FALSE,FALSE,0.23352857142857142,0.13061972431816102,2.9721892243594112,9.697030483192684
Rodentia,Heteromyidae,Perognathus,Perognathus flavus,FALSE,FALSE,0.21966666666666668,0.03594444787909995,41.80297320583965,148.52821679350984
Rodentia,Dipodidae,Zapus,Zapus princeps,FALSE,FALSE,0.2933,0.12807563390434576,4.7017662076174185,11.251563973608485
Rodentia,Sciuridae,Callospermophilus,Callospermophilus lateralis,FALSE,FALSE,0.17028000000000001,0.05390099256971063,9.771231409477455,47.64442884410238
Rodentia,Sciuridae,Tamias,Tamias minimus,FALSE,FALSE,0.24039,0.10670047550823852,4.030843196191103,12.71455461957136
Rodentia,Sciuridae,Tamias,Tamias quadrivittatus,FALSE,FALSE,0.23823333333333332,0.0680128174194639,12.755430750421738,40.84675532808959
Rodentia,Sciuridae,Tamias,Tamias rufus,FALSE,FALSE,0.2308,0.04678382911505498,25.24886336127498,84.13966942384691
Rodentia,Sciuridae,Tamias,Tamias umbrinus,FALSE,FALSE,0.325,0.10897247358851683,8.226183624497477,17.154945021744943
Soricomorpha,Soricidae,Sorex,Sorex monticolus,FALSE,FALSE,0.1121,0.02998132752230962,24.594299298278944,194.8068662947736
Rodentia,Cricetidae,Microtus,Microtus mogollonensis,TRUE,FALSE,0.1695357142857143,0.07255304274108021,4.674926195687737,22.9190482366623
Rodentia,Cricetidae,Microtus,Microtus pennsylvanicus,TRUE,FALSE,0.1695357142857143,0.07255304274108021,4.674926195687737,22.9190482366623
Rodentia,Cricetidae,Neotoma,Neotoma albigula,TRUE,FALSE,0.2836875,0.09212051791771783,6.717621510912623,17.043095404714755
Rodentia,Cricetidae,Neotoma,Neotoma cinerea,TRUE,FALSE,0.2836875,0.09212051791771783,6.717621510912623,17.043095404714755
Rodentia,Cricetidae,Peromyscus,Peromyscus crinitus,TRUE,FALSE,0.42261944444444444,0.12922580861078453,6.092286195501973,8.30565657728351
Rodentia,Cricetidae,Peromyscus,Peromyscus nastutus,TRUE,FALSE,0.42261944444444444,0.12922580861078453,6.092286195501973,8.30565657728351
Rodentia,Cricetidae,Reithrodontomy,Reithrodontomy montanus,TRUE,FALSE,0.23352857142857142,0.13061972431816102,2.9721892243594112,9.697030483192684
Rodentia,Heteromyidae,Chaetodipus,Chaetodipus hispidus,TRUE,TRUE,0.21966666666666668,0.03594444787909995,41.80297320583965,148.52821679350984
Rodentia,Heteromyidae,Dipodomys,Dipodomys ordii,TRUE,TRUE,0.21966666666666668,0.03594444787909995,41.80297320583965,148.52821679350984
Rodentia,Heteromyidae,Perognathus,Perognathus fasciatus,TRUE,FALSE,0.21966666666666668,0.03594444787909995,41.80297320583965,148.52821679350984
Rodentia,Heteromyidae,Perognathus,Perognathus flavescens,TRUE,FALSE,0.21966666666666668,0.03594444787909995,41.80297320583965,148.52821679350984
Rodentia,Dipodidae,Zapus,Zapus hudsonicus preblei,TRUE,FALSE,0.2933,0.12807563390434576,4.7017662076174185,11.251563973608485
Rodentia,Sciuridae,Ammospermophilus,Ammospermophilus leucurus,TRUE,TRUE,0.2363457142857143,0.09600348444306636,4.765202333574848,15.369897957373439
Rodentia,Sciuridae,Ictidomys,Ictidomys tridecemlineatus,TRUE,TRUE,0.2363457142857143,0.09600348444306636,4.765202333574848,15.369897957373439
Rodentia,Sciuridae,Marmota,Marmota flaviventris,TRUE,TRUE,0.2363457142857143,0.09600348444306636,4.765202333574848,15.369897957373439
Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,TRUE,TRUE,0.2363457142857143,0.09600348444306636,4.765202333574848,15.369897957373439
Rodentia,Sciuridae,Sciurus,Sciurus aberti,TRUE,TRUE,0.2363457142857143,0.09600348444306636,4.765202333574848,15.369897957373439
Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus  hudsonicus,TRUE,TRUE,0.2363457142857143,0.09600348444306636,4.765202333574848,15.369897957373439
Rodentia,Sciuridae,Urocitellus,Urocitellus elegans,TRUE,TRUE,0.2363457142857143,0.09600348444306636,4.765202333574848,15.369897957373439
Rodentia,Sciuridae,Xerospermophilus,Xerospermophilus spilosoma,TRUE,TRUE,0.2363457142857143,0.09600348444306636,4.765202333574848,15.369897957373439
Soricomorpha,Soricidae,Notiosorex,Notiosorex crawfordi,TRUE,TRUE,0.15605,0.053619927887555645,8.707046627561553,47.13887893486322
Soricomorpha,Soricidae,Sorex,Sorex cinereus,TRUE,FALSE,0.15605,0.053619927887555645,8.707046627561553,47.13887893486322
Soricomorpha,Soricidae,Sorex,Sorex hoyi,TRUE,FALSE,0.15605,0.053619927887555645,8.707046627561553,47.13887893486322
Soricomorpha,Soricidae,Sorex,Sorex merriami,TRUE,FALSE,0.15605,0.053619927887555645,8.707046627561553,47.13887893486322
Soricomorpha,Soricidae,Sorex,Sorex nanus,TRUE,FALSE,0.15605,0.053619927887555645,8.707046627561553,47.13887893486322
Soricomorpha,Soricidae,Sorex,Sorex palustris,TRUE,FALSE,0.15605,0.053619927887555645,8.707046627561553,47.13887893486322
